age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
30,Private,HS-grad,9,Divorced,Sales,Not-in-family,Black,Male,0,0,38,United-States,<=50K
52,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1500,0,50,United-States,>50K
19,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,20,Philippines,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
52,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
38,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
29,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,7688,0,40,United-States,>50K
27,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
25,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,35,United-States,<=50K
48,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,>50K
53,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
34,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
58,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,<=50K
32,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
28,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,35,China,<=50K
52,Self-emp-not-inc,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
67,Private,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K
22,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
35,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,38,United-States,<=50K
41,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,50,India,>50K
27,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,<=50K
45,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
26,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
80,Self-emp-not-inc,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,30,United-States,<=50K
72,Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,15,United-States,<=50K
39,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
25,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
44,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
67,Private,1st-4th,2,Widowed,Other-service,Other-relative,White,Female,0,0,20,United-States,<=50K
31,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,Mexico,>50K
20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,<=50K
54,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,11th,7,Separated,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
40,Private,Masters,14,Divorced,Prof-specialty,Own-child,White,Female,0,0,55,United-States,<=50K
22,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
63,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
30,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
45,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
28,Private,Assoc-voc,11,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,35,Philippines,<=50K
34,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,38,United-States,>50K
56,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
19,Private,HS-grad,9,Never-married,Sales,Other-relative,Black,Female,0,1719,30,United-States,<=50K
51,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States,>50K
32,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,60,United-States,<=50K
30,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
45,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,20,United-States,<=50K
55,State-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,>50K
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
52,Local-gov,Assoc-voc,11,Widowed,Protective-serv,Unmarried,Black,Female,0,0,35,United-States,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
30,Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,35,United-States,<=50K
42,Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,50,Philippines,>50K
45,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
28,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
60,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
22,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
28,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
62,Local-gov,Masters,14,Widowed,Prof-specialty,Not-in-family,Black,Female,0,0,20,United-States,<=50K
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
55,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,10000,0,40,India,>50K
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
